trade_id,message
ETHUSDT_2024-11-02 09:00:00,[ETH 5m 多头] 2024-11-02 09:00 开仓 @ 104.49，RR计划=2.00，持仓 50 分钟，结果: 止盈 +2.97R (+147.74 USDT)
BTCUSDT_2024-11-02 09:35:00,[BTC 5m 空头] 2024-11-02 09:35 开仓 @ 83.78，RR计划=2.00，持仓 30 分钟，结果: 止盈 +2.46R (+115.17 USDT)
ETHUSDT_2024-11-02 12:10:00,[ETH 5m 多头] 2024-11-02 12:10 开仓 @ 110.44，RR计划=2.00，持仓 10 分钟，结果: 止盈 +2.77R (+137.08 USDT)
BTCUSDT_2024-11-02 12:35:00,[BTC 5m 空头] 2024-11-02 12:35 开仓 @ 85.85，RR计划=2.00，持仓 35 分钟，结果: 止盈 +2.09R (+96.58 USDT)
ETHUSDT_2024-11-03 00:00:00,[ETH 5m 空头] 2024-11-03 00:00 开仓 @ 116.62，RR计划=2.00，持仓 75 分钟，结果: 止盈 +2.08R (+106.10 USDT)
BTCUSDT_2024-11-03 00:05:00,[BTC 5m 空头] 2024-11-03 00:05 开仓 @ 96.74，RR计划=2.00，持仓 45 分钟，结果: 止盈 +2.58R (+117.68 USDT)
ETHUSDT_2024-11-03 03:00:00,[ETH 5m 多头] 2024-11-03 03:00 开仓 @ 111.02，RR计划=2.00，持仓 30 分钟，结果: 止盈 +2.76R (+137.68 USDT)
BTCUSDT_2024-11-03 03:05:00,[BTC 5m 空头] 2024-11-03 03:05 开仓 @ 99.57，RR计划=2.00，持仓 30 分钟，结果: 止盈 +2.75R (+123.32 USDT)
ETHUSDT_2024-11-03 06:00:00,[ETH 5m 多头] 2024-11-03 06:00 开仓 @ 112.56，RR计划=2.00，持仓 55 分钟，结果: 止损 -2.22R (-111.10 USDT)
BTCUSDT_2024-11-03 06:05:00,[BTC 5m 多头] 2024-11-03 06:05 开仓 @ 90.48，RR计划=2.00，持仓 5 分钟，结果: 止损 -2.54R (-127.08 USDT)
ETHUSDT_2024-11-03 09:00:00,[ETH 5m 空头] 2024-11-03 09:00 开仓 @ 112.72，RR计划=2.00，持仓 10 分钟，结果: 止盈 +2.05R (+102.47 USDT)
BTCUSDT_2024-11-03 09:05:00,[BTC 5m 空头] 2024-11-03 09:05 开仓 @ 94.67，RR计划=2.00，持仓 60 分钟，结果: 止盈 +2.18R (+95.64 USDT)
ETHUSDT_2024-11-03 12:00:00,[ETH 5m 多头] 2024-11-03 12:00 开仓 @ 112.82，RR计划=2.00，持仓 10 分钟，结果: 止损 -1.78R (-89.14 USDT)
BTCUSDT_2024-11-03 12:35:00,[BTC 5m 空头] 2024-11-03 12:35 开仓 @ 87.00，RR计划=2.00，持仓 65 分钟，结果: 止盈 +2.63R (+113.47 USDT)
BTCUSDT_2024-11-04 00:00:00,[BTC 5m 空头] 2024-11-04 00:00 开仓 @ 84.30，RR计划=2.00，持仓 25 分钟，结果: 止盈 +2.13R (+91.21 USDT)
ETHUSDT_2024-11-04 00:05:00,[ETH 5m 空头] 2024-11-04 00:05 开仓 @ 128.13，RR计划=2.00，持仓 50 分钟，结果: 止盈 +2.16R (+104.64 USDT)
ETHUSDT_2024-11-04 03:05:00,[ETH 5m 多头] 2024-11-04 03:05 开仓 @ 120.47，RR计划=2.00，持仓 5 分钟，结果: 止损 -1.20R (-60.19 USDT)
BTCUSDT_2024-11-04 03:20:00,[BTC 5m 多头] 2024-11-04 03:20 开仓 @ 74.86，RR计划=2.00，持仓 95 分钟，结果: 止盈 +2.38R (+100.75 USDT)
ETHUSDT_2024-11-04 06:05:00,[ETH 5m 多头] 2024-11-04 06:05 开仓 @ 118.84，RR计划=2.00，持仓 60 分钟，结果: 止盈 +2.94R (+142.17 USDT)
BTCUSDT_2024-11-04 06:25:00,[BTC 5m 空头] 2024-11-04 06:25 开仓 @ 76.18，RR计划=2.00，持仓 65 分钟，结果: 止盈 +2.12R (+90.62 USDT)
ETHUSDT_2024-11-04 09:10:00,[ETH 5m 空头] 2024-11-04 09:10 开仓 @ 131.41，RR计划=2.00，持仓 85 分钟，结果: 止损 -1.91R (-95.67 USDT)
BTCUSDT_2024-11-04 09:40:00,[BTC 5m 多头] 2024-11-04 09:40 开仓 @ 78.08，RR计划=2.00，持仓 35 分钟，结果: 止损 -1.34R (-66.90 USDT)
ETHUSDT_2024-11-04 12:15:00,[ETH 5m 空头] 2024-11-04 12:15 开仓 @ 143.43，RR计划=2.00，持仓 20 分钟，结果: 止损 -1.58R (-79.14 USDT)
BTCUSDT_2024-11-04 13:35:00,[BTC 5m 空头] 2024-11-04 13:35 开仓 @ 78.06，RR计划=2.00，持仓 5 分钟，结果: 止损 -1.12R (-55.81 USDT)
ETHUSDT_2024-11-05 00:00:00,[ETH 5m 多头] 2024-11-05 00:00 开仓 @ 175.72，RR计划=2.00，持仓 195 分钟，结果: 止盈 +2.00R (+99.83 USDT)
BTCUSDT_2024-11-05 00:00:00,[BTC 5m 空头] 2024-11-05 00:00 开仓 @ 85.95，RR计划=2.00，持仓 30 分钟，结果: 止损 -1.46R (-73.09 USDT)
ETHUSDT_2024-11-05 03:15:00,[ETH 5m 空头] 2024-11-05 03:15 开仓 @ 181.65，RR计划=2.00，持仓 15 分钟，结果: 止损 -1.40R (-69.92 USDT)
ETHUSDT_2024-11-05 06:15:00,[ETH 5m 空头] 2024-11-05 06:15 开仓 @ 190.02，RR计划=2.00，持仓 100 分钟，结果: 止损 -1.25R (-62.34 USDT)
ETHUSDT_2024-11-05 09:15:00,[ETH 5m 多头] 2024-11-05 09:15 开仓 @ 190.09，RR计划=2.00，持仓 15 分钟，结果: 止损 -1.62R (-80.77 USDT)
